bucket,frequency,percentile
0,0.3451,0.0000
500,0.0932,0.3451
1000,0.0160,0.4383
1500,0.0126,0.4543
2000,0.0095,0.4668
2500,0.0094,0.4763
3000,0.0077,0.4857
3500,0.0075,0.4935
4000,0.0064,0.5010
4500,0.0067,0.5074
5000,0.0063,0.5141
6000,0.0120,0.5204
7000,0.0101,0.5324
8000,0.0092,0.5425
9000,0.0085,0.5518
10000,0.0091,0.5603
11000,0.0095,0.5694
12000,0.0072,0.5789
13000,0.0072,0.5861
14000,0.0066,0.5933
15000,0.0065,0.5999
16000,0.0064,0.6064
17000,0.0056,0.6127
18000,0.0055,0.6184
19000,0.0052,0.6238
20000,0.0059,0.6291
25000,0.0251,0.6349
30000,0.0209,0.6600
35000,0.0190,0.6809
40000,0.0163,0.6999
45000,0.0147,0.7162
50000,0.0133,0.7309
55000,0.0128,0.7442
60000,0.0114,0.7571
65000,0.0108,0.7684
70000,0.0095,0.7792
75000,0.0091,0.7888
80000,0.0082,0.7978
85000,0.0080,0.8060
90000,0.0071,0.8140
95000,0.0067,0.8211
100000,0.0066,0.8279
110000,0.0125,0.8344
120000,0.0104,0.8469
130000,0.0094,0.8573
140000,0.0085,0.8667
150000,0.0078,0.8752
160000,0.0069,0.8830
170000,0.0063,0.8898
180000,0.0057,0.8962
190000,0.0051,0.9019
200000,0.0048,0.9070
250000,0.0189,0.9118
300000,0.0135,0.9307
350000,0.0097,0.9442
400000,0.0071,0.9540
500000,0.0098,0.9611
600000,0.0065,0.9709
700000,0.0043,0.9773
800000,0.0033,0.9817
900000,0.0024,0.9849
1000000,0.0019,0.9873
1100000,0.0016,0.9893
1200000,0.0092,0.9909
